origin_code;year;month;day;hour;temp;dewp;humid;wind_dir;wind_speed;wind_gust;precip;pressure;visib;time_hour
EWR;2013;1;1;1;39.02;26.06;59.37;270.0;10.35702;0.0;0.0;1012.0;10.0;2013-01-01T06:00:00Z
EWR;2013;1;1;2;39.02;26.96;61.63;250.0;8.05546;0.0;0.0;1012.3;10.0;2013-01-01T07:00:00Z
EWR;2013;1;1;3;39.02;28.04;64.43;240.0;11.5078;0.0;0.0;1012.5;10.0;2013-01-01T08:00:00Z
EWR;2013;1;1;4;39.92;28.04;62.21;250.0;12.65858;0.0;0.0;1012.2;10.0;2013-01-01T09:00:00Z
EWR;2013;1;1;5;39.02;28.04;64.43;260.0;12.65858;0.0;0.0;1011.9;10.0;2013-01-01T10:00:00Z
EWR;2013;1;1;6;37.94;28.04;67.21;240.0;11.5078;0.0;0.0;1012.4;10.0;2013-01-01T11:00:00Z
EWR;2013;1;1;7;39.02;28.04;64.43;240.0;14.960139999999999;0.0;0.0;1012.2;10.0;2013-01-01T12:00:00Z
EWR;2013;1;1;8;39.92;28.04;62.21;250.0;10.35702;0.0;0.0;1012.2;10.0;2013-01-01T13:00:00Z
EWR;2013;1;1;9;39.92;28.04;62.21;260.0;14.960139999999999;0.0;0.0;1012.7;10.0;2013-01-01T14:00:00Z
EWR;2013;1;1;10;41.0;28.04;59.65;260.0;13.809359999999998;0.0;0.0;1012.4;10.0;2013-01-01T15:00:00Z
EWR;2013;1;1;11;41.0;26.96;57.06;260.0;14.960139999999999;0.0;0.0;1011.4;10.0;2013-01-01T16:00:00Z
EWR;2013;1;1;13;39.2;28.4;69.67;330.0;16.11092;0.0;0.0;;10.0;2013-01-01T18:00:00Z
EWR;2013;1;1;14;39.02;24.08;54.68;280.0;13.809359999999998;0.0;0.0;1010.8;10.0;2013-01-01T19:00:00Z
EWR;2013;1;1;15;37.94;24.08;57.04;290.0;9.20624;0.0;0.0;1011.9;10.0;2013-01-01T20:00:00Z
EWR;2013;1;1;16;37.04;19.94;49.62;300.0;13.809359999999998;20.71404;0.0;1012.1;10.0;2013-01-01T21:00:00Z
EWR;2013;1;1;17;35.96;19.04;49.83;330.0;11.5078;0.0;0.0;1013.2;10.0;2013-01-01T22:00:00Z
EWR;2013;1;1;18;33.98;15.08;45.43;310.0;12.65858;25.31716;0.0;1014.1;10.0;2013-01-01T23:00:00Z
EWR;2013;1;1;19;33.08;12.92;42.84;320.0;10.35702;0.0;0.0;1014.4;10.0;2013-01-02T00:00:00Z
EWR;2013;1;1;20;32.0;15.08;49.19;310.0;14.960139999999999;0.0;0.0;1015.2;10.0;2013-01-02T01:00:00Z
EWR;2013;1;1;21;30.02;12.92;48.48;320.0;18.41248;26.46794;0.0;1016.0;10.0;2013-01-02T02:00:00Z
EWR;2013;1;1;22;28.94;12.02;48.69;320.0;18.41248;25.31716;0.0;1016.5;10.0;2013-01-02T03:00:00Z
EWR;2013;1;1;23;28.04;10.94;48.15;310.0;16.11092;0.0;0.0;1016.4;10.0;2013-01-02T04:00:00Z
EWR;2013;1;2;0;26.96;10.94;50.34;310.0;14.960139999999999;25.31716;0.0;1016.3;10.0;2013-01-02T05:00:00Z
EWR;2013;1;2;1;26.06;10.94;52.25;330.0;12.65858;24.16638;0.0;1016.3;10.0;2013-01-02T06:00:00Z
EWR;2013;1;2;2;24.98;10.94;54.65;330.0;13.809359999999998;0.0;0.0;1017.0;10.0;2013-01-02T07:00:00Z
EWR;2013;1;2;3;24.08;8.96;51.93;320.0;14.960139999999999;0.0;0.0;1016.6;10.0;2013-01-02T08:00:00Z
EWR;2013;1;2;4;24.08;8.96;51.93;330.0;12.65858;0.0;0.0;1016.9;10.0;2013-01-02T09:00:00Z
EWR;2013;1;2;5;24.08;8.96;51.93;330.0;6.904679999999999;0.0;0.0;1016.9;10.0;2013-01-02T10:00:00Z
EWR;2013;1;2;6;24.08;8.96;51.93;310.0;3.4523399999999995;0.0;0.0;1017.2;10.0;2013-01-02T11:00:00Z
EWR;2013;1;2;7;24.98;10.04;52.5;300.0;6.904679999999999;0.0;0.0;1017.6;10.0;2013-01-02T12:00:00Z
EWR;2013;1;2;8;24.98;10.04;52.5;280.0;9.20624;0.0;0.0;1018.5;10.0;2013-01-02T13:00:00Z
EWR;2013;1;2;9;26.96;10.04;48.36;290.0;11.5078;0.0;0.0;1019.0;10.0;2013-01-02T14:00:00Z
EWR;2013;1;2;10;28.94;10.94;46.41;280.0;9.20624;0.0;0.0;1018.5;10.0;2013-01-02T15:00:00Z
EWR;2013;1;2;11;30.92;12.02;44.92;300.0;14.960139999999999;25.31716;0.0;1017.5;10.0;2013-01-02T16:00:00Z
EWR;2013;1;2;12;32.0;12.92;44.74;290.0;12.65858;23.0156;0.0;1017.1;10.0;2013-01-02T17:00:00Z
EWR;2013;1;2;13;33.98;12.92;41.33;290.0;16.11092;25.31716;0.0;1017.3;10.0;2013-01-02T18:00:00Z
EWR;2013;1;2;14;33.98;10.94;37.86;310.0;17.261699999999998;26.46794;0.0;1017.8;10.0;2013-01-02T19:00:00Z
EWR;2013;1;2;15;33.98;12.02;39.72;310.0;13.809359999999998;20.71404;0.0;1018.5;10.0;2013-01-02T20:00:00Z
EWR;2013;1;2;16;32.0;12.92;44.74;310.0;6.904679999999999;0.0;0.0;1018.6;10.0;2013-01-02T21:00:00Z
EWR;2013;1;2;17;32.0;12.92;44.74;290.0;12.65858;18.41248;0.0;1019.7;10.0;2013-01-02T22:00:00Z
EWR;2013;1;2;18;30.92;12.92;46.74;300.0;11.5078;0.0;0.0;1020.3;10.0;2013-01-02T23:00:00Z
EWR;2013;1;2;19;30.92;14.0;49.01;290.0;6.904679999999999;0.0;0.0;1020.4;10.0;2013-01-03T00:00:00Z
EWR;2013;1;2;20;30.02;14.0;50.84;280.0;9.20624;16.11092;0.0;1020.6;10.0;2013-01-03T01:00:00Z
EWR;2013;1;2;21;30.02;14.0;50.84;270.0;5.7539;0.0;0.0;1021.2;10.0;2013-01-03T02:00:00Z
EWR;2013;1;2;22;28.94;15.08;55.69;270.0;8.05546;0.0;0.0;1021.7;10.0;2013-01-03T03:00:00Z
EWR;2013;1;2;23;28.94;15.08;55.69;280.0;9.20624;0.0;0.0;1022.2;10.0;2013-01-03T04:00:00Z
EWR;2013;1;3;0;28.04;15.08;57.79;290.0;8.05546;0.0;0.0;1021.8;10.0;2013-01-03T05:00:00Z
EWR;2013;1;3;1;28.04;15.08;57.79;280.0;10.35702;0.0;0.0;1022.1;10.0;2013-01-03T06:00:00Z
EWR;2013;1;3;2;26.96;15.08;60.41;270.0;8.05546;0.0;0.0;1022.3;10.0;2013-01-03T07:00:00Z
EWR;2013;1;3;3;26.96;15.08;60.41;280.0;6.904679999999999;0.0;0.0;1022.1;10.0;2013-01-03T08:00:00Z
EWR;2013;1;3;4;26.06;15.08;62.7;290.0;5.7539;0.0;0.0;1021.9;10.0;2013-01-03T09:00:00Z
EWR;2013;1;3;5;26.06;15.08;62.7;290.0;5.7539;0.0;0.0;1022.0;10.0;2013-01-03T10:00:00Z
EWR;2013;1;3;6;26.06;15.98;65.21;310.0;6.904679999999999;0.0;0.0;1022.4;10.0;2013-01-03T11:00:00Z
EWR;2013;1;3;7;26.06;15.98;65.21;320.0;5.7539;0.0;0.0;1022.2;10.0;2013-01-03T12:00:00Z
EWR;2013;1;3;8;26.96;17.06;65.84;310.0;5.7539;0.0;0.0;1022.4;10.0;2013-01-03T13:00:00Z
EWR;2013;1;3;9;28.04;17.06;62.97;290.0;5.7539;0.0;0.0;1022.8;10.0;2013-01-03T14:00:00Z
EWR;2013;1;3;10;30.92;15.08;51.38;290.0;9.20624;0.0;0.0;1022.1;10.0;2013-01-03T15:00:00Z
EWR;2013;1;3;11;30.92;14.0;49.01;;4.60312;0.0;0.0;1021.0;10.0;2013-01-03T16:00:00Z
EWR;2013;1;3;12;33.08;12.92;42.84;260.0;8.05546;0.0;0.0;1019.8;10.0;2013-01-03T17:00:00Z
EWR;2013;1;3;13;33.98;12.92;41.33;260.0;9.20624;0.0;0.0;1019.1;10.0;2013-01-03T18:00:00Z
EWR;2013;1;3;14;33.98;12.92;41.33;240.0;8.05546;0.0;0.0;1018.7;10.0;2013-01-03T19:00:00Z
EWR;2013;1;3;15;33.08;14.0;44.92;250.0;11.5078;0.0;0.0;1018.8;10.0;2013-01-03T20:00:00Z
EWR;2013;1;3;16;32.0;14.0;46.92;270.0;10.35702;0.0;0.0;1018.9;10.0;2013-01-03T21:00:00Z
EWR;2013;1;3;17;30.02;15.08;53.29;240.0;9.20624;0.0;0.0;1019.3;10.0;2013-01-03T22:00:00Z
EWR;2013;1;3;18;30.92;15.08;51.38;240.0;10.35702;0.0;0.0;1019.6;10.0;2013-01-03T23:00:00Z
EWR;2013;1;3;19;30.92;15.08;51.38;230.0;11.5078;0.0;0.0;1019.6;10.0;2013-01-04T00:00:00Z
EWR;2013;1;3;20;30.92;15.08;51.38;240.0;11.5078;0.0;0.0;1019.4;10.0;2013-01-04T01:00:00Z
EWR;2013;1;3;21;30.92;15.98;53.44;240.0;12.65858;0.0;0.0;1019.0;10.0;2013-01-04T02:00:00Z
EWR;2013;1;3;22;28.94;17.06;60.69;230.0;10.35702;0.0;0.0;1019.0;10.0;2013-01-04T03:00:00Z
EWR;2013;1;3;23;30.02;17.96;60.38;240.0;10.35702;0.0;0.0;1018.4;10.0;2013-01-04T04:00:00Z
EWR;2013;1;4;0;30.02;17.96;60.38;240.0;13.809359999999998;0.0;0.0;1018.0;10.0;2013-01-04T05:00:00Z
EWR;2013;1;4;1;28.94;17.96;63.1;230.0;8.05546;0.0;0.0;1018.1;10.0;2013-01-04T06:00:00Z
EWR;2013;1;4;2;30.02;19.04;63.24;240.0;10.35702;0.0;0.0;1018.3;10.0;2013-01-04T07:00:00Z
EWR;2013;1;4;3;28.94;19.04;66.09;250.0;11.5078;0.0;0.0;1018.2;10.0;2013-01-04T08:00:00Z
EWR;2013;1;4;4;28.94;19.94;68.68;230.0;6.904679999999999;0.0;0.0;1018.4;10.0;2013-01-04T09:00:00Z
EWR;2013;1;4;5;30.92;21.02;66.34;240.0;11.5078;0.0;0.0;1018.4;10.0;2013-01-04T10:00:00Z
EWR;2013;1;4;6;33.08;21.02;60.81;230.0;16.11092;0.0;0.0;1018.7;10.0;2013-01-04T11:00:00Z
EWR;2013;1;4;7;33.98;21.92;60.93;240.0;10.35702;0.0;0.0;1018.7;10.0;2013-01-04T12:00:00Z
EWR;2013;1;4;8;35.06;21.92;58.37;250.0;13.809359999999998;0.0;0.0;1019.0;10.0;2013-01-04T13:00:00Z
EWR;2013;1;4;9;35.96;21.02;54.21;250.0;14.960139999999999;19.56326;0.0;1019.0;10.0;2013-01-04T14:00:00Z
EWR;2013;1;4;10;37.04;19.04;47.75;260.0;16.11092;27.61872;0.0;1018.1;10.0;2013-01-04T15:00:00Z
EWR;2013;1;4;11;37.04;19.04;47.75;270.0;20.71404;27.61872;0.0;1016.9;10.0;2013-01-04T16:00:00Z
EWR;2013;1;4;12;39.92;19.94;44.33;260.0;17.261699999999998;25.31716;0.0;1015.8;10.0;2013-01-04T17:00:00Z
EWR;2013;1;4;13;37.94;19.04;46.09;250.0;24.16638;31.07106;0.0;1015.1;10.0;2013-01-04T18:00:00Z
EWR;2013;1;4;14;37.94;19.94;47.89;250.0;21.86482;28.7695;0.0;1014.7;10.0;2013-01-04T19:00:00Z
EWR;2013;1;4;15;37.94;19.94;47.89;250.0;18.41248;27.61872;0.0;1014.6;10.0;2013-01-04T20:00:00Z
EWR;2013;1;4;16;37.04;19.94;49.62;250.0;17.261699999999998;25.31716;0.0;1014.8;10.0;2013-01-04T21:00:00Z
EWR;2013;1;4;17;35.96;21.02;54.21;230.0;13.809359999999998;0.0;0.0;1015.2;10.0;2013-01-04T22:00:00Z
EWR;2013;1;4;18;35.06;21.02;56.18;230.0;9.20624;0.0;0.0;1015.4;10.0;2013-01-04T23:00:00Z
EWR;2013;1;4;19;35.06;21.02;56.18;240.0;11.5078;19.56326;0.0;1015.5;10.0;2013-01-05T00:00:00Z
EWR;2013;1;4;20;35.06;19.94;53.66;250.0;11.5078;0.0;0.0;1015.3;10.0;2013-01-05T01:00:00Z
EWR;2013;1;4;21;35.06;19.94;53.66;250.0;13.809359999999998;0.0;0.0;1015.7;10.0;2013-01-05T02:00:00Z
EWR;2013;1;4;22;33.98;19.04;53.91;250.0;11.5078;0.0;0.0;1016.2;10.0;2013-01-05T03:00:00Z
EWR;2013;1;4;23;33.08;19.04;55.89;240.0;11.5078;0.0;0.0;1016.6;10.0;2013-01-05T04:00:00Z
EWR;2013;1;5;0;33.08;17.96;53.36;260.0;10.35702;0.0;0.0;1017.1;10.0;2013-01-05T05:00:00Z
EWR;2013;1;5;1;33.08;17.06;51.33;270.0;10.35702;0.0;0.0;1017.7;10.0;2013-01-05T06:00:00Z
EWR;2013;1;5;2;32.0;17.06;53.6;280.0;12.65858;0.0;0.0;1018.8;10.0;2013-01-05T07:00:00Z
EWR;2013;1;5;3;32.0;17.06;53.6;290.0;18.41248;23.0156;0.0;1019.3;10.0;2013-01-05T08:00:00Z
EWR;2013;1;5;4;32.0;17.06;53.6;260.0;11.5078;0.0;0.0;1020.2;10.0;2013-01-05T09:00:00Z
EWR;2013;1;5;5;32.0;17.06;53.6;240.0;12.65858;0.0;0.0;1021.0;10.0;2013-01-05T10:00:00Z
EWR;2013;1;5;6;33.08;17.96;53.36;250.0;10.35702;0.0;0.0;1022.4;10.0;2013-01-05T11:00:00Z
